proba_col,threshold,precision,recall,specificity,accuracy,f1,fpr,tn,fp,fn,tp
s1_pred_proba,0.4,0.5503355704697968,0.1522748375116062,0.9942243868798759,0.9568745366175138,0.23854545454511472,0.005775613120124133,23067,134,913,164
s1_pred_proba,0.41000000000000003,0.5551724137931014,0.14948932219127192,0.9944398948321193,0.9569569157261718,0.23555230431568586,0.005560105167880695,23072,129,916,161
s1_pred_proba,0.42,0.5535714285714265,0.1439182915506034,0.9946123011939141,0.9568745366175138,0.22844509948382838,0.005387698806085944,23076,125,922,155
s1_pred_proba,0.43,0.5627376425855491,0.1374187558031568,0.9950433170984009,0.9569981052805009,0.2208955223877439,0.004956682901599069,23086,115,929,148
s1_pred_proba,0.44,0.5634920634920613,0.13184772516248827,0.9952588250506443,0.9569569157261718,0.2136945071479241,0.004741174949355631,23091,110,935,142
s1_pred_proba,0.45,0.5545851528384256,0.11792014856081698,0.9956036377742339,0.9566685888458687,0.19448698315438126,0.004396362225766131,23099,102,950,127
s1_pred_proba,0.46,0.5590909090909065,0.11420612813370463,0.9958191457264773,0.9567097784001977,0.18966846568977197,0.004180854273522693,23104,97,954,123
s1_pred_proba,0.47000000000000003,0.5829145728643187,0.10770659238625803,0.996422567992759,0.9569981052805009,0.18181818181791826,0.0035774320072410673,23118,83,961,116
s1_pred_proba,0.48,0.6055555555555522,0.10120705663881142,0.9969397870781432,0.957204053052146,0.1734287987268824,0.0030602129218568167,23130,71,968,109
s1_pred_proba,0.49,0.6474358974358934,0.09377901578458674,0.9976294125253222,0.9575335694867781,0.16382806163805935,0.0023705874746778157,23146,55,976,101
s1_pred_proba,0.5,0.6571428571428525,0.08542246982358395,0.997931123658463,0.9574511903781201,0.15119145439585205,0.0020688763415370025,23153,48,985,92
s1_pred_proba,0.51,0.6666666666666613,0.0761374187558031,0.9982328347916039,0.9573276217151331,0.13666666666648247,0.0017671652083961899,23160,41,995,82
s1_pred_proba,0.52,0.6607142857142798,0.0687093779015784,0.9983621395629498,0.9571216739434879,0.12447434819158694,0.001637860437050127,23163,38,1003,74
s1_pred_proba,0.53,0.6599999999999935,0.06128133704735371,0.9985345459247447,0.9569569157261718,0.1121495327101247,0.001465454075255377,23167,34,1011,66
s1_pred_proba,0.54,0.6458333333333266,0.057567316620241366,0.9985345459247447,0.9567921575088557,0.10571184995722381,0.001465454075255377,23167,34,1015,62
s1_pred_proba,0.55,0.6555555555555483,0.054781801299907104,0.9986638506960906,0.9567921575088557,0.1011139674377324,0.0013361493039093142,23170,31,1018,59
s1_pred_proba,0.56,0.654761904761897,0.05106778087279476,0.998750053876988,0.9567097784001977,0.0947459086992627,0.0012499461230119392,23172,29,1022,55
s1_pred_proba,0.5700000000000001,0.6315789473684128,0.044568245125348155,0.9987931554674367,0.9564626410742236,0.08326105810915686,0.0012068445325632516,23173,28,1029,48
s1_pred_proba,0.58,0.6315789473684128,0.044568245125348155,0.9987931554674367,0.9564626410742236,0.08326105810915686,0.0012068445325632516,23173,28,1029,48
s1_pred_proba,0.59,0.6571428571428478,0.042711234911791976,0.9989655618292315,0.9565450201828816,0.08020924149944933,0.0010344381707685013,23177,24,1031,46
s1_pred_proba,0.6,0.6451612903225702,0.03714020427112346,0.9990517650101288,0.9563802619655656,0.0702370500437951,0.0009482349898711262,23179,22,1037,40
s1_pred_proba,0.61,0.6363636363636248,0.03249767873723303,0.9991379681910263,0.9562566933025785,0.061837455830296144,0.0008620318089737511,23181,20,1042,35
s1_pred_proba,0.62,0.6410256410256245,0.023212627669452163,0.9993965777337184,0.9560919350852624,0.04480286738344502,0.0006034222662816258,23187,14,1052,25
s1_pred_proba,0.63,0.6111111111110941,0.020427112349117902,0.9993965777337184,0.9559683664222753,0.03953279424971272,0.0006034222662816258,23187,14,1055,22
s1_pred_proba,0.64,0.6470588235293927,0.020427112349117902,0.9994827809146157,0.9560507455309334,0.0396039603959802,0.0005172190853842506,23189,12,1055,22
s1_pred_proba,0.65,0.7083333333333038,0.015784586815227472,0.9996982888668592,0.9560507455309334,0.030881017256996362,0.0003017111331408129,23194,7,1060,17
s1_pred_proba,0.66,0.7333333333332844,0.010213556174558951,0.9998275936382053,0.9559271768679463,0.020146520146493013,0.00017240636179475022,23197,4,1066,11
s1_pred_proba,0.67,0.7142857142856632,0.009285051067780865,0.9998275936382053,0.9558859873136173,0.018331805682834396,0.00017240636179475022,23197,4,1067,10
s1_pred_proba,0.68,0.7142857142856632,0.009285051067780865,0.9998275936382053,0.9558859873136173,0.018331805682834396,0.00017240636179475022,23197,4,1067,10
s1_pred_proba,0.6900000000000001,0.7142857142856632,0.009285051067780865,0.9998275936382053,0.9558859873136173,0.018331805682834396,0.00017240636179475022,23197,4,1067,10
s1_pred_proba,0.7000000000000001,0.7692307692307101,0.009285051067780865,0.9998706952286539,0.9559271768679463,0.018348623853187408,0.00012930477134606266,23198,3,1067,10
s1_pred_proba,0.71,0.7272727272726611,0.007428040854224692,0.9998706952286539,0.9558447977592882,0.014705882352921135,0.00012930477134606266,23198,3,1069,8
s1_pred_proba,0.72,0.7272727272726611,0.007428040854224692,0.9998706952286539,0.9558447977592882,0.014705882352921135,0.00012930477134606266,23198,3,1069,8
s1_pred_proba,0.73,0.69999999999993,0.006499535747446605,0.9998706952286539,0.9558036082049592,0.012879484820588922,0.00012930477134606266,23198,3,1070,7
s1_pred_proba,0.74,0.69999999999993,0.006499535747446605,0.9998706952286539,0.9558036082049592,0.012879484820588922,0.00012930477134606266,23198,3,1070,7
